en,ru,en_tok,ru_tok,en_to_ru_prob,ru_to_en_prob
▁list,▁список,1889,99786,0.1116,0.838
▁literally,▁буквально,15060,217384,0.0718,0.4944
▁literature,▁литера,12339,70410,0.0824,0.391
▁little,▁ма,2356,4025,0.10406,0.0441
▁logic,▁логи,14855,102781,0.4312,0.3115
▁long,▁длин,1497,79547,0.308,0.7646
▁loves,▁любит,16147,143457,0.795,0.627
▁low,▁низ,3178,65593,0.4338,0.3384
▁luxury,▁роско,18799,227222,0.07697,0.356
▁made,▁сделал,1644,130242,0.1527,0.3762
▁majority,▁большинство,10898,169755,0.1647,0.3105
▁makes,▁делает,3833,104022,0.2426,0.3901
▁man,▁муж,916,34813,0.1283,0.5254
▁management,▁управление,4815,118564,0.1918,0.2316
▁manager,▁мене,8866,44021,0.06183,0.04248
▁map,▁карта,4403,105150,0.2988,0.828
▁march,▁мар,12312,34608,0.2186,0.295
▁market,▁рынок,3952,164185,0.1323,0.8135
▁mask,▁маска,8945,165207,0.3079,0.8984
▁mass,▁массы,5182,195399,0.04877,0.2195
▁master,▁мастер,7443,82505,0.2163,0.7407
▁material,▁материал,2893,85309,0.06143,0.6733
▁materials,▁материалы,6205,98351,0.10284,0.632
▁mathematics,▁математи,26814,113540,0.2291,0.4353
▁matrix,▁матри,9077,198498,0.189,0.181
▁maximum,▁макси,7725,60613,0.2161,0.3528
▁means,▁значит,3454,83210,0.08844,0.466
▁meat,▁мясо,11827,144768,0.1449,0.923
▁meeting,▁встреча,5961,77674,0.109,0.617
▁member,▁член,4757,137039,0.2944,0.8574
▁memory,▁память,6884,116506,0.3557,0.781
▁mention,▁упомина,5512,207977,0.05508,0.3105
▁menu,▁меню,6901,94672,0.539,0.829
▁mercy,▁мило,28525,160656,0.4834,0.0627
▁messages,▁сообщения,11922,152902,0.1187,0.525
▁metal,▁метал,5998,51963,0.1631,0.75
▁meter,▁метр,16198,231147,0.4932,0.7075
▁method,▁метод,2370,104432,0.2086,0.824
▁methods,▁методы,5358,142326,0.1978,0.739
▁metro,▁метро,30331,127828,0.2375,0.502
▁micro,▁микро,6517,64695,0.2664,0.2191
▁middle,▁сред,7185,23092,0.2085,0.5244
▁milk,▁молоко,9512,153495,0.1139,0.929
▁million,▁милли,4416,74433,0.5483,0.5522
▁mineral,▁минера,19370,141864,0.1506,0.717
▁minimum,▁минима,8773,115763,0.1852,0.7104
▁minister,▁мини,14364,48521,0.201,0.1287
▁minute,▁мину,9428,51858,0.3599,0.3174
▁miracle,▁чудо,40241,156790,0.3193,0.541
▁mistakes,▁ошибки,23798,153585,0.1606,0.501
▁mm,▁мм,4709,32397,0.3743,0.1716
▁mobile,▁моби,7635,107144,0.09985,0.742
▁mode,▁режим,4058,98175,0.06354,0.3357
▁model,▁модель,2091,74143,0.3271,0.845
▁modern,▁современ,5354,50969,0.1571,0.3027
▁modest,▁скром,37277,232086,0.5444,0.5933
▁module,▁моду,10098,98854,0.1802,0.2366
▁moment,▁момент,4318,55957,0.1519,0.624
▁money,▁деньги,3370,68578,0.09705,0.9204
▁monitor,▁мони,8200,136892,0.04645,0.197
▁month,▁месяц,2514,97479,0.2312,0.9297
▁moral,▁мора,13289,143841,0.1458,0.108
▁more,▁больше,978,28061,0.2463,0.622
▁morning,▁утро,5764,147478,0.1324,0.7534
▁mother,▁мать,5290,142290,0.2389,0.8623
▁motivation,▁мотива,27259,165655,0.2842,0.3447
▁motor,▁мото,5980,124092,0.1237,0.2837
▁motorcycle,▁мотоци,33743,189955,0.3416,0.5186
▁movement,▁движение,8069,138768,0.1449,0.5337
▁much,▁много,1683,21371,0.669,0.4353
▁murder,▁убий,12615,134641,0.4927,0.1661
▁museum,▁музей,18862,129838,0.2585,0.8203
▁music,▁музыка,4296,77805,0.5083,0.8887
▁my,▁мой,970,53200,0.4167,0.622
▁name,▁имя,1503,81480,0.1245,0.8896
▁names,▁имена,4752,200547,0.211,0.8213
▁natural,▁природ,4158,96854,0.2147,0.4453
▁nature,▁природа,4460,178719,0.1184,0.819
▁near,▁близ,3018,76955,0.2235,0.5835
▁necessary,▁необходимо,4647,34256,0.1321,0.3787
▁negative,▁отрица,8322,152728,0.463,0.3564
▁negotiations,▁перегово,30566,192335,0.3254,0.2568
▁neighbor,▁сосед,11874,160610,0.2332,0.3406
▁nerve,▁нер,25606,75233,0.1976,0.09485
▁network,▁сеть,6011,164932,0.104,0.662
▁neutral,▁нейтра,17120,221313,0.1193,0.6904
▁never,▁никогда,2447,75761,0.3516,0.823
▁new,▁новый,888,55683,0.2418,0.9077
▁newspaper,▁газе,20650,131246,0.2603,0.6445
▁next,▁следу,2351,24576,0.05725,0.398
▁night,▁ночь,3354,106546,0.4165,0.9243
▁nine,▁девя,9981,189815,0.2048,0.8193
▁no,▁нет,793,21882,0.4175,0.3733
▁nobody,▁никто,21566,97572,0.2212,0.3987
▁noise,▁шум,11277,160729,0.532,0.7354
▁normal,▁норма,4500,50523,0.2515,0.5527
▁north,▁север,7923,133644,0.4973,0.8174
▁nose,▁нос,16482,210694,0.2216,0.6353
▁not,▁не,780,2087,0.6123,0.6973
▁now,▁сейчас,1490,42946,0.1565,0.8384
▁number,▁число,1758,81651,0.2279,0.777
▁numbers,▁числа,5968,111953,0.2546,0.353
▁nut,▁оре,16621,106776,0.2507,0.094
▁object,▁объект,4018,178460,0.0451,0.774
▁obligation,▁обяза,28080,45316,0.2286,0.1285
▁offers,▁предлагает,6952,141767,0.242,0.5127
▁officer,▁офи,11053,43803,0.1296,0.2018
▁official,▁официаль,5613,80172,0.0567,0.7915
▁often,▁часто,3695,43356,0.294,0.7485
▁oil,▁масло,4684,56024,0.1556,0.6797
▁olive,▁олив,21361,234038,0.06805,0.2068
▁on,▁на,611,1416,0.3647,0.301
▁one,▁один,974,29815,0.1696,0.875
▁online,▁онлайн,3650,70146,0.4102,0.705
▁only,▁только,1297,15757,0.1516,0.785
▁open,▁откры,2174,27917,0.2494,0.668
▁operation,▁опера,6791,40447,0.5947,0.5854
▁operations,▁операции,8582,131487,0.3503,0.621
▁opinion,▁мнение,7837,131728,0.194,0.7573
▁optics,▁опти,71917,79249,0.11835,0.214
▁optimal,▁оптима,19735,141522,0.8193,0.2908
▁or,▁или,689,9209,0.494,0.7715
▁orange,▁апель,10436,219268,0.10144,0.421
▁order,▁порядок,2184,144469,0.07416,0.7666
▁ordinary,▁обы,14814,41450,0.3562,0.1184
▁organ,▁орга,2359,18694,0.0411,0.6147
▁organization,▁организация,8344,128248,0.07104,0.7183
▁otherwise,▁иначе,8481,133572,0.3188,0.637
▁our,▁наш,1167,62702,0.1951,0.6895
▁own,▁свой,1997,33372,0.1316,0.5864
▁owner,▁хозя,8482,58747,0.161,0.2432
▁package,▁пакет,9262,156353,0.0639,0.3335
▁pair,▁пара,8537,36308,0.2026,0.5327
▁palm,▁паль,24789,65183,0.2467,0.1407
▁panels,▁панели,22683,157057,0.04062,0.6235
▁paper,▁бума,4368,65426,0.08905,0.6704
▁paradise,▁рай,42421,39023,0.3071,0.3608
▁parallel,▁паралле,14255,200053,0.3425,0.718
▁parameter,▁парамет,11019,77111,0.3113,0.319
▁parameters,▁параметры,7949,177931,0.2783,0.7285
▁park,▁парк,7441,125627,0.1088,0.874
▁parliament,▁парла,28191,170849,0.05084,0.3623
▁part,▁часть,1702,39082,0.1553,0.821
▁participate,▁уча,17173,20669,0.5293,0.172
▁participation,▁участие,16290,84343,0.1472,0.7383
▁partner,▁парт,9670,84858,0.07446,0.3547
▁passenger,▁пассажи,25017,146550,0.1846,0.5347
▁password,▁пароль,8003,211307,0.4912,0.86
▁past,▁прош,3433,77956,0.2109,0.2048
▁pause,▁пау,25867,180067,0.08075,0.1633
▁peace,▁мир,7124,53459,0.434,0.4473
▁pencil,▁каранда,27207,157059,0.10046,0.746
▁people,▁люди,1461,40328,0.08496,0.838
▁perfect,▁совершен,4434,73294,0.2152,0.367
▁perfectly,▁идеально,13596,197561,0.1758,0.2688
▁permanent,▁постоян,14151,55138,0.2128,0.2479
▁person,▁человек,1552,36174,0.0933,0.424
▁personally,▁лично,17267,113033,0.3306,0.566
▁perspective,▁перспекти,14320,178561,0.1459,0.281
▁philosophy,▁филосо,19754,125300,0.4,0.375
▁phone,▁телефон,5248,84476,0.1937,0.4443
▁photo,▁фото,2686,8544,0.614,0.5996
▁physics,▁физи,23099,57628,0.656,0.1669
▁picture,▁картин,5642,53802,0.04584,0.3945
▁pictures,▁картинки,7721,107381,0.07697,0.593
▁pillow,▁поду,29905,122383,0.1027,0.1912
▁place,▁место,2040,32469,0.11224,0.8516
▁places,▁места,6853,47253,0.0866,0.518
▁plan,▁план,1780,81594,0.285,0.789
▁plans,▁планы,7362,231951,0.2615,0.8584
▁plate,▁таре,8811,196187,0.03897,0.2815
▁plays,▁играет,12258,171308,0.4714,0.443
▁pleasant,▁прият,20904,70233,0.07446,0.329
▁please,▁пожалуйста,3743,104197,0.4062,0.7007
▁pleasure,▁удоволь,15241,123166,0.0554,0.478
▁plus,▁плюс,2755,153096,0.2622,0.814
▁poems,▁стихи,29632,144534,0.168,0.3796
▁point,▁точка,2377,187138,0.1855,0.5444
▁points,▁точки,3782,89931,0.0965,0.2927
▁police,▁поли,5877,25036,0.1647,0.07074
▁politics,▁полити,16127,70105,0.10223,0.548
▁pollution,▁загряз,21675,217306,0.2666,0.2715
▁popular,▁популяр,5876,67223,0.1106,0.7026
▁port,▁порт,3530,83701,0.1288,0.797
▁positive,▁положи,6222,93740,0.2952,0.1741
▁possibilities,▁возможности,23166,87099,0.2615,0.2788
▁possibility,▁возможность,13879,61380,0.2465,0.4749
▁possible,▁возможно,3077,29978,0.2212,0.1931
▁post,▁поч,2053,33379,0.05774,0.3884
▁potato,▁карто,28251,62035,0.09796,0.1002
▁potential,▁потенциаль,5736,227825,0.2435,0.594
▁pound,▁фун,23106,110896,0.6973,0.5693
▁prayer,▁молит,17889,167768,0.289,0.758
▁prefer,▁предпочита,6700,203132,0.3682,0.4668
▁preference,▁предпоч,25768,227587,0.08093,0.2205
▁pregnant,▁беремен,22594,106185,0.1865,0.847
▁presentation,▁презента,14446,163932,0.1729,0.3867
▁president,▁президент,9456,136283,0.2947,0.7466
▁pressure,▁давление,5601,146159,0.1802,0.75
▁previous,▁предыду,4509,134951,0.1754,0.5054
▁price,▁цена,3712,60851,0.4307,0.846
▁prices,▁цены,7501,86155,0.3848,0.4756
▁prince,▁прин,24442,92606,0.07935,0.3958
▁priority,▁приорите,15852,227479,0.3762,0.696
▁prison,▁тюрь,10805,220702,0.06052,0.6875
▁prisoner,▁плен,42577,123712,0.1661,0.2268
▁prize,▁приз,23303,117610,0.2006,0.632
▁probability,▁вероят,14603,110144,0.3928,0.4106
▁probably,▁вероятно,4485,209595,0.3572,0.4824
▁problem,▁проблема,3210,86778,0.07935,0.791
▁problems,▁проблемы,4552,70399,0.3499,0.699
▁procedure,▁процеду,10286,73600,0.203,0.591
▁procedures,▁процедуры,12410,167183,0.07916,0.4421
▁process,▁процесс,2185,83825,0.1078,0.775
▁processes,▁процессы,9756,205839,0.112,0.6025
▁produce,▁производи,7872,46171,0.1548,0.4055
▁product,▁продукт,3225,105090,0.1095,0.5693
▁profession,▁профе,4491,40704,0.07794,0.41
▁profile,▁профиль,8959,221970,0.1481,0.769
▁program,▁програм,2733,33537,0.1002,0.4543
▁programs,▁программы,7658,83857,0.1976,0.529
▁progress,▁прогре,7695,141865,0.1243,0.2147
▁project,▁проект,3542,88775,0.453,0.851
▁projects,▁проекты,7340,204628,0.1442,0.575
▁promise,▁обеща,14517,220711,0.081,0.649
▁proportion,▁пропор,14464,230050,0.0756,0.4873
▁protect,▁защи,9051,33820,0.1625,0.2242
▁protection,▁защита,6919,143115,0.0855,0.384
▁psychology,▁психо,33154,61464,0.34,0.3413
▁public,▁обще,2294,25586,0.0786,0.1097
▁publications,▁публикации,22786,180192,0.09485,0.39
▁pulse,▁пуль,22787,180921,0.04468,0.2778
▁punishment,▁наказа,29023,214815,0.2595,0.469
▁quality,▁качество,3614,67801,0.0634,0.8794
▁quarter,▁квар,9453,40000,0.2566,0.4734
▁question,▁вопрос,2872,54773,0.508,0.845
▁questions,▁вопросы,3920,62722,0.233,0.7666
▁queue,▁очередь,17269,102899,0.37,0.6665
▁quickly,▁быстро,7290,50463,0.4502,0.577
▁radiation,▁радиа,19144,142276,0.1559,0.6987
▁radio,▁радио,7752,100300,0.5337,0.8643
▁rain,▁дож,8980,159674,0.4612,0.763
▁rarely,▁редко,21159,149811,0.2751,0.3855
▁ratio,▁соотно,9537,191139,0.04413,0.3103
▁reached,▁достиг,8951,228089,0.1893,0.3745
▁reaction,▁реак,9541,74952,0.6523,0.433
▁read,▁читать,1682,147395,0.396,0.4775
▁ready,▁готов,5628,70908,0.588,0.621
▁real,▁реаль,1879,72209,0.09393,0.5435
▁reason,▁причина,3519,118507,0.0912,0.467
▁reasons,▁причины,8121,148344,0.3667,0.576
▁received,▁получил,4956,109610,0.4453,0.4053
▁receives,▁получает,26975,198242,0.3044,0.3923
▁recently,▁недавно,7378,156918,0.28,0.6836
▁recipe,▁рецепт,14758,116925,0.1021,0.897
▁recommend,▁рекоменду,5656,68301,0.302,0.482
▁recommendation,▁рекоменда,26276,203713,0.386,0.3337
▁recommendations,▁рекомендации,15897,191044,0.3196,0.3223
▁record,▁запись,3661,163666,0.06555,0.3298
▁records,▁записи,9126,72808,0.1781,0.3774
▁red,▁красный,3118,115113,0.5146,0.912
▁reflection,▁отра,22915,64821,0.184,0.02936
▁region,▁реги,5612,39700,0.0353,0.5825
▁regular,▁регуляр,5748,123047,0.1129,0.7383
▁regularly,▁регулярно,16969,201909,0.1342,0.66
▁religious,▁религиоз,11527,209864,0.134,0.658
▁remain,▁оста,5822,19747,0.632,0.0862
▁remained,▁остался,13484,218595,0.3906,0.3384
▁rent,▁арен,7356,101154,0.0717,0.4856
▁repeat,▁повто,17399,94650,0.1578,0.1879
▁replacement,▁замена,15740,222086,0.1703,0.3677
▁report,▁отчет,3484,139665,0.1135,0.702
▁represents,▁представляет,12786,122265,0.04736,0.1958
▁requires,▁требует,9286,133690,0.5103,0.2673
▁reserve,▁резер,20702,125917,0.1223,0.733
▁resistance,▁сопротив,10942,165955,0.192,0.277
▁resource,▁ресур,6537,71332,0.125,0.563
▁resources,▁ресурсы,6336,234441,0.0674,0.732
▁respect,▁ува,6207,61657,0.6465,0.1874
▁respectively,▁соответственно,11235,182293,0.089,0.328
▁rest,▁отдыха,2066,86810,0.05667,0.4263
▁restaurant,▁ресторан,9208,179750,0.07776,0.885
▁restrictions,▁ограничения,16842,212171,0.1924,0.2966
▁result,▁ито,2196,72093,0.1285,0.1075
▁results,▁результаты,3190,117946,0.134,0.8003
▁revolution,▁револю,15693,109849,0.664,0.819
▁reward,▁награ,16975,96045,0.1558,0.2252
▁rhythm,▁рит,36168,198100,0.224,0.4695
▁rich,▁бога,7277,100589,0.3792,0.6475
▁right,▁пра,1833,9303,0.12494,0.1164
▁risk,▁риск,5685,175479,0.1779,0.803
▁river,▁ре,8540,4051,0.2079,0.4417
▁robot,▁робо,18571,60100,0.374,0.63
▁rocket,▁ракет,33756,164332,0.1426,0.3794
▁room,▁комната,2965,166470,0.0977,0.884
▁rose,▁роза,8270,224683,0.11847,0.641
▁roses,▁розы,28391,153097,0.1716,0.471
▁rub,▁руб,7962,22810,0.5522,0.1443
▁rules,▁правила,6364,76177,0.19,0.743
▁safe,▁безопас,5985,52364,0.1486,0.7256
▁safety,▁безопасность,6514,198207,0.303,0.4944
▁said,▁сказал,1180,48119,0.3745,0.6943
▁salad,▁сала,23216,187306,0.084,0.0704
▁salary,▁зар,18463,154492,0.1753,0.2184
▁salt,▁соль,9193,117521,0.522,0.891
▁same,▁одина,1809,129288,0.06665,0.2212
▁saw,▁увидел,4818,196519,0.1586,0.775
▁say,▁сказать,1931,69334,0.2488,0.536
▁says,▁говорит,2889,68057,0.6123,0.405
▁scene,▁сцена,8089,121031,0.06665,0.355
▁scheme,▁схема,12360,142021,0.1981,0.6006
▁schemes,▁схемы,27952,202627,0.1553,0.3022
▁school,▁школа,2493,107567,0.10706,0.9146
▁schools,▁школы,7594,93367,0.1588,0.534
▁science,▁нау,8042,29017,0.2372,0.2439
▁scientist,▁учены,38692,156932,0.1298,0.2124
▁screen,▁экран,5299,165235,0.2007,0.817
▁sculpture,▁скульп,34102,204938,0.1151,0.5957
▁sea,▁море,4176,80150,0.1627,0.7974
▁seems,▁кажется,4930,101501,0.2827,0.5693
▁sell,▁прода,4874,34628,0.6675,0.4563
▁seminar,▁семина,48749,221595,0.3547,0.4858
▁sensitive,▁чувстви,16955,181257,0.11505,0.2253
▁sentence,▁предложение,13060,146607,0.09186,0.6323
▁sentences,▁предложения,26099,121961,0.1995,0.4023
▁separately,▁отдельно,23779,186337,0.1552,0.3298
▁series,▁серия,4100,94109,0.0925,0.6987
▁serious,▁серьез,6449,108316,0.2067,0.7476
▁service,▁служба,2566,182353,0.056,0.7354
▁services,▁услуги,3545,91094,0.05127,0.812
▁set,▁сет,1142,93043,0.0306,0.1547
▁settings,▁настройки,8791,160382,0.05676,0.788
▁seven,▁семь,6861,145268,0.1132,0.926
▁shadows,▁тени,33812,184356,0.3064,0.2732
▁she,▁она,1284,22294,0.4395,0.759
▁sheep,▁ов,21304,217859,0.1627,0.2905
▁shield,▁щи,24042,114583,0.2915,0.1704
▁ship,▁кора,7509,86593,0.1162,0.7524
▁shop,▁магазин,6920,99839,0.1315,0.566
▁short,▁корот,3309,153435,0.08203,0.7544
▁should,▁должен,1412,53287,0.1373,0.3154
▁show,▁показать,1500,175494,0.3813,0.589
▁shows,▁показывает,4918,162332,0.2389,0.658
▁sick,▁боль,11666,12626,0.651,0.281
▁sides,▁стороны,10012,55744,0.2795,0.5405
▁sign,▁знак,2035,132939,0.2966,0.5376
▁signal,▁сигнал,9402,211407,0.2307,0.7603
▁simple,▁простой,3890,146483,0.2812,0.631
▁sister,▁сестра,11000,214697,0.3057,0.9004
▁size,▁размер,2395,46286,0.03778,0.6514
▁skin,▁кожа,5239,69230,0.04907,0.4397
▁sky,▁небо,8203,124277,0.3945,0.822
▁slowly,▁медленно,13708,225071,0.4712,0.7534
▁small,▁маленький,2301,166135,0.1436,0.731
▁smell,▁запах,19918,159410,0.2021,0.767
▁smile,▁улы,11491,87061,0.1804,0.6694
▁snow,▁сне,8529,62640,0.3064,0.7275
▁so,▁так,712,8122,0.1774,0.4194
▁social,▁социаль,3127,57362,0.0766,0.7446
▁soft,▁мяг,4072,76835,0.4072,0.4644
▁soldier,▁солдат,25574,197798,0.1107,0.864
▁solution,▁раство,4558,89053,0.1422,0.4807
▁sometimes,▁иногда,6947,102165,0.3613,0.7964
▁son,▁сын,2032,125537,0.4119,0.91
▁song,▁песня,5169,181181,0.2842,0.9053
▁songs,▁песни,12405,114495,0.4827,0.6777
▁soon,▁скоро,4445,47477,0.456,0.5947
▁soul,▁душа,9420,132294,0.3542,0.837
▁souls,▁души,27380,100348,0.311,0.659
▁sound,▁звук,4835,141803,0.311,0.849
▁soup,▁суп,21078,161980,0.3428,0.8833
▁source,▁источник,4303,186880,0.09766,0.462
▁south,▁ю,8432,24173,0.6216,0.227
▁space,▁пространство,3641,166537,0.0703,0.7734
▁special,▁особен,3186,41206,0.05035,0.54
▁specialist,▁специали,25336,57700,0.11774,0.2637
▁specially,▁специально,32138,178291,0.0948,0.4182
▁specific,▁специфи,3724,194795,0.0823,0.1763
▁speech,▁речь,11360,117306,0.12,0.432
▁speed,▁скорость,4969,122372,0.3406,0.825
▁spend,▁потра,9999,159959,0.0988,0.2947
▁spirit,▁дух,6914,205854,0.477,0.5117
▁sport,▁спорт,7888,83592,0.3162,0.7876
▁spring,▁весна,7921,174553,0.1241,0.8613
▁square,▁квадрат,7800,150271,0.1814,0.9243
▁standard,▁стандарт,5039,97844,0.139,0.7173
▁stands,▁стоит,12353,43957,0.2373,0.332
▁star,▁звезда,2343,162533,0.1702,0.902
▁state,▁государ,2329,39161,0.0483,0.426
▁station,▁стан,7148,51742,0.2306,0.838
▁statistics,▁статистика,15617,217635,0.258,0.8105
▁status,▁статус,4938,156119,0.08704,0.683
▁steel,▁сталь,8212,222375,0.2532,0.6724
▁step,▁шаг,4065,49548,0.10767,0.767
▁stomach,▁желу,22197,166488,0.1146,0.2219
▁stone,▁камень,9566,183592,0.2316,0.7905
▁strategy,▁страте,9803,110438,0.4705,0.6313
▁strength,▁сила,7268,133368,0.515,0.3938
▁strictly,▁строго,26741,167670,0.5615,0.4026
▁strike,▁удар,15657,136353,0.1139,0.1561
▁student,▁студент,5913,211965,0.1595,0.9077
▁style,▁стиль,3411,113671,0.2668,0.7944
▁subject,▁предмет,5091,94465,0.0857,0.278
▁success,▁успех,3361,212150,0.219,0.815
▁successfully,▁успешно,13292,163338,0.4707,0.7246
▁such,▁такой,1582,41104,0.1769,0.4714
▁suddenly,▁вдруг,14518,122054,0.126,0.539
▁sugar,▁сахар,9347,114878,0.2761,0.8535
▁suit,▁костюм,9460,101975,0.03873,0.544
▁sum,▁сумма,2707,209046,0.07043,0.5845
▁summer,▁лето,6186,127067,0.193,0.8774
▁super,▁супер,2557,86707,0.2988,0.51
▁surgeon,▁хиру,45623,174623,0.3591,0.316
▁surname,▁фами,49034,135703,0.4712,0.5015
▁suspect,▁подозре,20627,215861,0.0968,0.5103
▁sweet,▁слад,7786,113593,0.327,0.4517
▁sword,▁меч,18870,77902,0.26,0.8228
▁syndrome,▁синд,25971,186048,0.2964,0.2017
▁synthesis,▁синте,25639,138305,0.445,0.1732
▁system,▁система,1812,49679,0.1686,0.773
▁systems,▁системы,5188,47945,0.1672,0.646
▁table,▁стол,3037,58079,0.2067,0.7456
▁tail,▁хво,10594,123645,0.2773,0.1946
▁take,▁взять,1987,113712,0.2212,0.506
▁talent,▁талан,16850,143879,0.1936,0.581
▁task,▁задача,6911,146369,0.111,0.3774
▁taste,▁вкус,10122,90544,0.2227,0.742
▁taxi,▁такси,27899,193716,0.2012,0.904
▁tea,▁чай,1763,76398,0.558,0.802
▁teach,▁учи,4971,36610,0.2505,0.332
▁teacher,▁учитель,9382,191740,0.6895,0.886
▁technical,▁техни,9838,58404,0.293,0.3247
▁technology,▁техника,6178,181423,0.0693,0.266
▁television,▁телеви,15734,110733,0.4573,0.618
▁temperature,▁температура,5809,102441,0.3186,0.8237
▁template,▁шабло,11387,231442,0.1564,0.463
▁ten,▁десять,2797,203904,0.2576,0.861
▁test,▁тест,2121,164771,0.665,0.7773
▁text,▁текст,2793,89063,0.3813,0.816
▁thank,▁спасибо,7593,60632,0.2478,0.4897
▁theatre,▁театр,25506,184418,0.131,0.44
▁themselves,▁сами,5771,63077,0.347,0.3054
▁then,▁потом,1492,52236,0.1674,0.1986
▁theory,▁тео,7900,78091,0.4297,0.763
▁there,▁там,1104,31347,0.3582,0.81
▁these,▁эти,1450,21977,0.2266,0.548
▁they,▁они,984,20679,0.5303,0.772
▁this,▁эта,736,31787,0.1412,0.5913
▁thought,▁дума,3421,42353,0.3943,0.1768
▁thoughts,▁мысли,9398,113545,0.3884,0.789
▁thousand,▁тыся,12078,59701,0.1964,0.5664
▁threat,▁угро,8446,133745,0.09735,0.2076
▁three,▁три,2149,27635,0.3972,0.372
▁through,▁через,1593,27039,0.2343,0.553
▁title,▁титу,4680,215357,0.0641,0.7085
▁today,▁сегодня,3646,48219,0.3806,0.8735
▁together,▁вместе,3584,55213,0.29,0.872
▁toilet,▁туа,19384,148112,0.05295,0.417
▁tomorrow,▁завтра,14610,104519,0.4739,0.8613
▁too,▁слишком,1980,88271,0.09033,0.7534
▁took,▁взял,3895,191987,0.39,0.575
▁tools,▁инструменты,8112,206132,0.05325,0.6606
▁topic,▁тема,11381,138436,0.2888,0.3875
▁topics,▁темы,16254,134711,0.2893,0.1711
▁touch,▁каса,6437,92465,0.0665,0.1658
▁tour,▁тур,5347,53566,0.1022,0.3923
▁tournament,▁турни,22039,124995,0.1405,0.5166
▁trade,▁торго,6082,89942,0.1826,0.652
▁traditions,▁традиции,30435,201238,0.19,0.309
▁train,▁поезд,6588,120414,0.11255,0.881
▁translation,▁перевод,17183,140934,0.4934,0.7065
▁transport,▁транспорт,6676,91059,0.1793,0.6567
▁travel,▁путеше,5056,101569,0.06384,0.3472
▁treatment,▁лечение,5158,113026,0.09174,0.6133
▁trend,▁тенден,8493,167173,0.1112,0.2874
▁truck,▁грузо,9564,152179,0.1024,0.3228
▁truth,▁правда,7873,101509,0.2532,0.834
▁turn,▁поворо,2894,148253,0.2184,0.4941
▁two,▁два,1378,30428,0.3972,0.942
▁type,▁тип,1916,88376,0.2179,0.6284
▁ultra,▁ультра,13842,191813,0.1195,0.3435
▁uncle,▁дя,32011,157631,0.2449,0.3699
▁under,▁под,1362,6079,0.4656,0.5312
▁understood,▁понял,14777,129506,0.2052,0.3616
▁universal,▁универса,15660,124494,0.2778,0.277
▁university,▁университет,13435,176285,0.0869,0.779
▁unknown,▁неизвест,12417,154758,0.2123,0.6343
▁unusual,▁необы,20386,120064,0.3354,0.3054
▁up,▁вверх,908,157895,0.487,0.5957
▁update,▁обнов,4601,94004,0.292,0.4382
▁used,▁исполь,1671,17386,0.06125,0.3618
▁useful,▁полез,7275,67482,0.3425,0.3967
▁user,▁пользователь,2425,230487,0.1538,0.8657
▁usually,▁обычно,5250,87629,0.2966,0.657
▁vaccine,▁вак,21387,153941,0.321,0.04468
▁vector,▁вектор,4301,164011,0.3684,0.793
▁vegetable,▁ово,26771,73313,0.2576,0.269
▁version,▁версия,3797,120229,0.2683,0.78
▁versions,▁версии,16062,114145,0.1334,0.4678
▁vertical,▁вертика,12991,143956,0.1317,0.4434
▁very,▁очень,1508,18756,0.558,0.816
▁victim,▁жерт,17015,134852,0.318,0.3682
▁victory,▁побе,15032,46228,0.4976,0.6016
▁video,▁видео,3569,43420,0.445,0.83
▁view,▁вид,2116,27612,0.1306,0.371
▁violation,▁нарушение,25152,211543,0.1989,0.4165
▁violations,▁нарушения,40640,148164,0.359,0.295
▁vitamin,▁витами,23042,137101,0.2974,0.722
▁voice,▁голос,7061,140666,0.2372,0.841
▁voltage,▁напряжение,14623,204858,0.2144,0.628
▁volume,▁объем,6620,113044,0.0682,0.585
▁wait,▁ждать,4307,158179,0.2068,0.427
▁wants,▁хочет,8507,109667,0.496,0.687
▁war,▁война,2036,140241,0.2847,0.903
▁warehouse,▁склад,33749,90359,0.1327,0.39
▁warning,▁предупре,11699,134032,0.3801,0.26
▁was,▁был,729,19920,0.6562,0.813
▁water,▁вода,2003,53234,0.1881,0.9253
▁wave,▁вол,9591,51020,0.421,0.1426
▁way,▁путь,1703,93186,0.2041,0.4128
▁we,▁мы,783,13310,0.799,0.444
▁weak,▁сла,8742,41434,0.2406,0.02426
▁weather,▁пого,8957,91631,0.387,0.3157
▁wedding,▁свадь,9608,124478,0.267,0.5884
▁weight,▁вес,5171,90522,0.1973,0.766
▁were,▁были,1049,28485,0.6694,0.7524
▁west,▁запа,9764,43220,0.1919,0.501
▁what,▁что,1212,4480,0.7188,0.5674
▁wheel,▁коле,11478,51310,0.1752,0.274
▁wheels,▁колеса,16964,193442,0.11035,0.4443
▁when,▁когда,1185,23032,0.579,0.8545
▁where,▁где,1570,25735,0.2261,0.734
▁white,▁белый,2674,62401,0.4172,0.8516
▁who,▁кто,1064,29523,0.3254,0.674
▁why,▁почему,3165,61208,0.4028,0.8574
▁wide,▁широ,5396,57693,0.17,0.643
▁width,▁ширина,4881,186330,0.2255,0.7944
▁wife,▁жена,6152,111380,0.459,0.82
▁will,▁будет,877,17854,0.1921,0.725
▁wind,▁ветер,6785,190194,0.1818,0.85
